dsdbestDenmark,dsdbestSweden,dsdMPSweden,dsdoffshoreSweden,dsdbestGlasgow,dsdMPGlasgow,dsdoffshoreGlasgow,,,,
20,20,20,20,20,20,20,,"40,29","4,7392",Denmark
20,20,20,20,20,20,20,,"42,79","4,5503",Denmark
20,20,20,20,20,20,20,,"44,29","5,1143",Denmark
20,20,20,20,20,20,20,,"41,29","4,6844",Denmark
20,20,20,20,20,20,20,,"44,29","3,0773",Denmark
20,20,20,20,20,20,20,,"42,79","4,8925",Denmark
20,20,20,20,20,20,20,,"45,29","3,2799",Denmark
20,20,20,20,20,20,20,,"43,29","4,9856",Denmark
20,20,20,20,20,20,20,,"45,29","3,2635",Denmark
20,20,20,20,20,20,20,,"43,79","4,6789",Denmark
20,20,20,20,20,20,20,,"44,29","4,772",Denmark
20,20,20,20,20,20,20,,"43,79","4,7036",Denmark
20,20,20,20,20,20,20,,"44,79","3,6386",Denmark
20,20,20,20,20,20,20,,"45,79","2,8528",Denmark
20,20,20,20,20,20,20,,"42,24","4,7802",Denmark
20,20,20,20,20,20,20,,"44,79","4,6598",Denmark
20,20,20,20,20,20,20,,"44,29","5,5879",Sweden
20,20,20,20,20,20,20,,"44,29","5,5742",Sweden
20,20,20,20,20,20,20,,"45,29","5,6547",Sweden
20,20,20,20,20,20,20,,"45,29","5,5934",Sweden
20,20,20,20,20,20,20,,"46,29","5,5961",Sweden
20,20,20,20,20,20,20,,"42,29","5,6947",Sweden
20,20,20,20,20,20,20,,"44,29","5,4674",Sweden
20,20,20,20,20,20,20,,"40,29","5,1964",Glasgow
20,20,20,20,20,20,20,,"40,29","6,1546",Glasgow
20,20,20,20,20,20,20,,"41,29","5,3223",Glasgow
20,20,20,20,20,20,20,,"34,29","5,1718",Glasgow
20,20,20,20,20,20,20,,"41,29","5,1718",Glasgow
20,20,20,20,20,20,20,,"38,29","6,3107",Glasgow
20,20,20,20,20,20,20,,"40,29","5,1608",Glasgow
20,20,20,20,20,20,20,,"41,29","5,1197",Glasgow
20,20,20,20,20,20,20,,"41,29","5,1937",Glasgow
20,20,20,20,20,20,20,,"38,29","5,2758",Glasgow
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
20,20,20,20,20,20,20,,,,
